Processo,Classe,Assuntos,Resultado,Dias até decisão,Data ajuizamento,Data tutela
08859172420258100001,Tutela Antecipada Antecedente,Planos de saúde,CONCEDIDA,0.03,20/09/2025,20/09/2025
08658313220258100001,Procedimento Comum Cível,Consulta | Fornecimento de insumos | Planos de saúde | Plano de Saúde ,CONCEDIDA,1.67,19/07/2025,21/07/2025
08754975720258100001,Procedimento Comum Cível,Planos de saúde | Tratamento médico-hospitalar,CONCEDIDA,13.71,19/08/2025,02/09/2025
08709454920258100001,Procedimento Comum Cível,Planos de saúde,CONCEDIDA,21.64,04/08/2025,26/08/2025
08517411920258100001,Procedimento Comum Cível,Planos de saúde,CONCEDIDA,28.23,10/06/2025,08/07/2025
08841132120258100001,Procedimento Comum Cível,Plano de Saúde  | Planos de saúde,CONCEDIDA,48.14,16/09/2025,03/11/2025
08712616220258100001,Procedimento Comum Cível,Planos de saúde | Reajuste contratual | Liminar  | Erro Médico | Erro Médico,NÃO CONCEDIDA,1.74,05/08/2025,07/08/2025
08531494520258100001,Procedimento Comum Cível,Reajuste contratual | Planos de saúde,NÃO CONCEDIDA,4.16,13/06/2025,17/06/2025
08810663920258100001,Procedimento Comum Cível,Planos de saúde,NÃO CONCEDIDA,11.94,04/09/2025,16/09/2025
08797967720258100001,Procedimento Comum Cível,Planos de saúde,NÃO CONCEDIDA,24.29,02/09/2025,26/09/2025
08778065120258100001,Procedimento Comum Cível,Reajuste contratual | Liminar  | Planos de saúde,NÃO CONCEDIDA,72.78,26/08/2025,07/11/2025
08795525120258100001,Procedimento Comum Cível,Planos de saúde,NÃO CONCEDIDA,73.26,01/09/2025,13/11/2025
