codigo,movimento,ocorrencias
85,Petição,455
581,Documento,407
1061,Disponibilização no Diário da Justiça Eletrônico,217
92,Publicação,216
51,Conclusão,203
60,Expedição de documento,176
1051,Decurso de Prazo,173
11010,Mero expediente,59
106,Mandado,54
26,Distribuição,50
12740,de Conciliação,39
12614,Remessa para o CEJUSC ou Centros de Conciliação/Mediação,30
123,Remessa,30
12621,Recebimento no CEJUSC ou Centros de Conciliação/Mediação,30
12619,Recebimento do CEJUSC ou Centros de Conciliação/Mediação,30
36,Redistribuição,26
787,Gratuidade da Justiça,26
12164,Outras Decisões,24
941,Incompetência,24
14738,Retificação de Classe Processual,19
332,Antecipação de tutela,17
12532,Infrutífera,16
339,Liminar,12
12387,Decisão de Saneamento e Organização,10
792,Liminar,7
15085,Emenda à Inicial,7
11383,Ato ordinatório,7
785,Antecipação de tutela,6
12646,Determinada a Redistribuição,4
221,Procedência em Parte,4
12270,Documento,4
892,Liminar,4
12291,Movimentação processual,3
220,Improcedência,2
371,Incompetência,1
132,Recebimento,1
198,Acolhimento de Embargos de Declaração,1
848,Trânsito em julgado,1
219,Procedência,1
334,Gratuidade da Justiça,1
15216,,1
15164,Não Acolhimento de Embargos de Declaração,1
272,"A depender do julgamento de outra causa, de outro juízo ou declaração incidente",1
12548,Expedição de alvará de levantamento,1
12306,Perito,1
961,Suscitação de Conflito de Competência,1
