codigo,movimento,ocorrencias
581,Documento,2814
85,Petição,2745
51,Conclusão,2281
1061,Disponibilização no Diário da Justiça Eletrônico,1968
92,Publicação,1960
1051,Decurso de Prazo,1513
60,Expedição de documento,847
26,Distribuição,824
11010,Mero expediente,595
36,Redistribuição,525
941,Incompetência,379
246,Definitivo,285
848,Trânsito em julgado,239
106,Mandado,230
123,Remessa,189
463,Desistência,181
15085,Emenda à Inicial,176
12740,de Conciliação,172
12646,Determinada a Redistribuição,160
12614,Remessa para o CEJUSC ou Centros de Conciliação/Mediação,157
12621,Recebimento no CEJUSC ou Centros de Conciliação/Mediação,157
12619,Recebimento do CEJUSC ou Centros de Conciliação/Mediação,157
12164,Outras Decisões,132
14738,Retificação de Classe Processual,103
961,Suscitação de Conflito de Competência,78
787,Gratuidade da Justiça,78
12532,Infrutífera,76
11383,Ato ordinatório,62
132,Recebimento,55
334,Gratuidade da Justiça,55
12270,Documento,54
12387,Decisão de Saneamento e Organização,48
12291,Movimentação processual,46
454,Indeferimento da petição inicial,43
460,"Perempção, litispendência ou coisa julgada",20
15103,Gratuidade da Justiça,18
458,Abandono da causa,18
466,Homologação de Transação,15
981,Recebimento,14
220,Improcedência,14
221,Procedência em Parte,12
219,Procedência,12
459,Ausência de pressupostos processuais,12
12255,Redistribuição por prevenção,12
461,Ausência das condições da ação,11
12750,de Instrução e Julgamento,9
272,"A depender do julgamento de outra causa, de outro juízo ou declaração incidente",9
14737,Exclusão do Juízo 100% Digital,9
15216,,8
83,Cancelamento da distribuição,7
14736,Inclusão no Juízo 100% Digital,7
239,Não-Provimento,5
15185,Cooperação Judiciária,4
12307,Decretação de revelia,4
12359,Liminar Prejudicada,4
22,Baixa Definitiva,4
12430,Arquivamento,4
15164,Não Acolhimento de Embargos de Declaração,4
12066,Cumprimento de Levantamento da Suspensão ,4
14739,Evolução da Classe Processual,3
11385,Execução/Cumprimento de Sentença Iniciada (o),3
12444,deferimento,3
12151,Suspeição,3
893,Desarquivamento,3
11012,Conflito de Competência,2
12185,Decisão Interlocutória de Mérito,2
12261,Emenda a inicial,2
12325,Perda do objeto,2
12098,Incidente de Resolução de Demandas Repetitivas ,2
12313,Pedido de inclusão em pauta virtual,2
12116,Para julgamento de mérito,2
12200,Mérito,2
1059,Sem efeito suspensivo,2
394,Com efeito suspensivo,2
12548,Expedição de alvará de levantamento,2
268,Morte ou perda da capacidade,2
15162,Acolhimento de Embargos de Declaração,1
14985,Suspensão/Sobrestamento por Incidente de Resolução de Demandas Repetitivas,1
237,Provimento,1
12205,Retirado,1
12115,Para julgamento de mérito,1
198,Acolhimento de Embargos de Declaração,1
200,Não-Acolhimento de Embargos de Declaração,1
12306,Perito,1
15163,Acolhimento em Parte de Embargos de Declaração,1
