numeroProcesso,codigo,movimento,dataHora,complementos
08069217520268100001,332,Antecipação de tutela,2026-02-06T16:23:43.000Z,
08085014320268100001,332,Antecipação de tutela,2026-02-11T14:35:02.000Z,
08090141120268100001,785,Antecipação de tutela,2026-02-09T22:54:51.000Z,
08094636620268100001,332,Antecipação de tutela,2026-02-20T11:39:39.000Z,
08110797620268100001,339,Liminar,2026-02-19T11:29:23.000Z,
08110797620268100001,339,Liminar,2026-02-26T14:44:41.000Z,
08111541820268100001,332,Antecipação de tutela,2026-03-11T21:57:15.000Z,
08114937420268100001,792,Liminar,2026-02-20T11:42:15.000Z,
08114937420268100001,332,Antecipação de tutela,2026-04-30T12:49:45.000Z,
08118557620268100001,785,Antecipação de tutela,2026-03-05T12:19:51.000Z,
08119345520268100001,785,Antecipação de tutela,2026-02-26T10:00:37.000Z,
08127321620268100001,339,Liminar,2026-02-25T22:16:10.000Z,
08139732520268100001,792,Liminar,2026-03-12T10:13:09.000Z,
08139767720268100001,785,Antecipação de tutela,2026-03-02T17:48:17.000Z,
08143551820268100001,785,Antecipação de tutela,2026-03-02T15:35:15.000Z,
08146271220268100001,339,Liminar,2026-04-20T15:50:32.000Z,
08149761520268100001,332,Antecipação de tutela,2026-03-02T23:35:59.000Z,
08158639620268100001,792,Liminar,2026-03-12T11:56:02.000Z,
08166372920268100001,892,Liminar,2026-03-25T12:37:32.000Z,
08167118320268100001,792,Liminar,2026-06-08T17:46:14.000Z,
08168607920268100001,332,Antecipação de tutela,2026-03-08T23:21:20.000Z,
08180914420268100001,892,Liminar,2026-04-05T22:34:37.000Z,
08183478420268100001,339,Liminar,2026-05-26T16:20:56.000Z,
08183775620258100001,332,Antecipação de tutela,2025-03-06T17:06:35.000Z,
08190008620268100001,339,Liminar,2026-03-16T22:36:58.000Z,
08203042320268100001,332,Antecipação de tutela,2026-06-17T11:18:46.000Z,
08206068620258100001,332,Antecipação de tutela,2025-03-11T16:03:34.000Z,
08207728420268100001,339,Liminar,2026-03-20T18:56:12.000Z,
08219628220268100001,892,Liminar,2026-07-23T17:59:56.000Z,
08222359520258100001,792,Liminar,2025-07-07T10:17:18.000Z,
08222580720268100001,339,Liminar,2026-03-31T12:20:01.000Z,
08229336720268100001,332,Antecipação de tutela,2026-03-27T12:09:57.000Z,
08231735620268100001,332,Antecipação de tutela,2026-03-26T20:39:01.000Z,
08231891020268100001,892,Liminar,2026-05-05T22:07:29.000Z,
08236160720268100001,332,Antecipação de tutela,2026-03-27T20:49:34.000Z,
08237356520268100001,332,Antecipação de tutela,2026-03-29T04:48:19.000Z,
08240858720258100001,339,Liminar,2025-03-20T12:12:27.000Z,
08242171320268100001,785,Antecipação de tutela,2026-04-22T17:58:58.000Z,
08242215020268100001,792,Liminar,2026-05-29T10:41:24.000Z,
08250437320258100001,339,Liminar,2025-03-24T14:20:30.000Z,
08264013920268100001,792,Liminar,2026-05-05T21:37:13.000Z,
08282634520268100001,339,Liminar,2026-04-23T15:35:49.000Z,
08289571420268100001,332,Antecipação de tutela,2026-05-08T17:19:12.000Z,
08294083920268100001,332,Antecipação de tutela,2026-04-17T14:05:39.000Z,
08294770820258100001,339,Liminar,2025-04-04T15:43:19.000Z,
08294770820258100001,889,Antecipação de Tutela,2026-04-28T22:14:33.000Z,
08295781120268100001,792,Liminar,2026-05-27T11:47:58.000Z,
08296422120268100001,332,Antecipação de tutela,2026-04-24T18:23:10.000Z,
08301116720268100001,792,Liminar,2026-06-16T16:46:14.000Z,
08306044420268100001,785,Antecipação de tutela,2026-05-05T22:04:08.000Z,
08306165820268100001,792,Liminar,2026-04-25T18:57:39.000Z,
08306919720268100001,332,Antecipação de tutela,2026-04-22T23:33:57.000Z,
08307525520268100001,332,Antecipação de tutela,2026-04-27T10:13:49.000Z,
08310204620258100001,332,Antecipação de tutela,2025-04-08T21:41:52.000Z,
08310521720268100001,339,Liminar,2026-05-29T19:29:15.000Z,
08311899620268100001,792,Liminar,2026-06-10T16:33:44.000Z,
08313986520268100001,332,Antecipação de tutela,2026-05-19T22:12:35.000Z,
08318931220268100001,792,Liminar,2026-05-03T13:46:20.000Z,
08319676620268100001,785,Antecipação de tutela,2026-07-01T12:01:59.000Z,
08320568920268100001,339,Liminar,2026-05-03T14:14:06.000Z,
08323097720268100001,339,Liminar,2026-05-06T09:09:16.000Z,
08336350920258100001,785,Antecipação de tutela,2025-06-11T11:17:18.000Z,
08337000420258100001,339,Liminar,2025-05-08T10:58:39.000Z,
08338785020258100001,339,Liminar,2025-04-16T22:18:17.000Z,
08341033620268100001,785,Antecipação de tutela,2026-05-29T20:03:34.000Z,
08341033620268100001,332,Antecipação de tutela,2026-06-22T18:14:22.000Z,
08341033620268100001,332,Antecipação de tutela,2026-07-10T09:31:45.000Z,
08345332220258100001,332,Antecipação de tutela,2025-04-23T11:40:50.000Z,
08346440620258100001,332,Antecipação de tutela,2025-07-29T11:59:48.000Z,
08346787820258100001,892,Liminar,2025-08-13T11:13:45.000Z,
08347928020268100001,792,Liminar,2026-05-25T15:38:32.000Z,
08358380720268100001,339,Liminar,2026-05-08T20:24:45.000Z,
08358632020268100001,339,Liminar,2026-05-15T16:36:41.000Z,
08362798520268100001,792,Liminar,2026-05-12T12:12:20.000Z,
08363179720268100001,785,Antecipação de tutela,2026-06-26T12:24:23.000Z,
08363230720268100001,339,Liminar,2026-05-14T11:51:20.000Z,
08365408420258100001,339,Liminar,2025-11-07T13:04:26.000Z,
08369963420258100001,339,Liminar,2025-05-09T10:07:13.000Z,
08370757620268100001,785,Antecipação de tutela,2026-06-10T16:31:42.000Z,
08376257120268100001,892,Liminar,2026-06-23T14:38:00.000Z,
08383878720268100001,785,Antecipação de tutela,2026-06-02T15:58:23.000Z,
08415645920268100001,339,Liminar,2026-05-29T13:06:57.000Z,
08417285820258100001,332,Antecipação de tutela,2025-06-16T13:32:49.000Z,
08427987620268100001,332,Antecipação de tutela,2026-06-14T13:00:56.000Z,
08443290320268100001,892,Liminar,2026-07-13T22:37:59.000Z,
08449105220258100001,332,Antecipação de tutela,2025-08-21T22:52:08.000Z,
08449266920268100001,332,Antecipação de tutela,2026-06-08T01:01:38.000Z,
08449668520258100001,332,Antecipação de tutela,2025-05-23T11:13:09.000Z,
08466146620268100001,332,Antecipação de tutela,2026-06-23T23:40:38.000Z,
