Processo,Resultado,Classe,Assuntos,Dias até decisão,Decisão obtida,Magistrado,Pedido principal,Urgência comprovada,Relatório médico,Relatório médico detalhado,Prescrição médica,Negativa administrativa,Contrato/documentação,Risco de dano,Probabilidade do direito,Rol ANS mencionado,CDC mencionado,Lei 9.656/98 mencionada,Precedentes utilizados,Fundamento principal,Fundamento secundário,Motivo determinante,Falha documental identificada,Falha jurídica identificada,O que favoreceu a decisão,O que prejudicou a decisão,Como evitar o problema,Aplicação na nova petição,Observações
08859172420258100001,CONCEDIDA,Tutela Antecipada Antecedente,Planos de saúde,0.03,NÃO,,,,,,,,,,,,,,,,,,,,,,,,
08658313220258100001,CONCEDIDA,Procedimento Comum Cível,Consulta | Fornecimento de insumos | Planos de saúde | Plano de Saúde ,1.67,NÃO,,,,,,,,,,,,,,,,,,,,,,,,
08754975720258100001,CONCEDIDA,Procedimento Comum Cível,Planos de saúde | Tratamento médico-hospitalar,13.71,NÃO,,,,,,,,,,,,,,,,,,,,,,,,
08709454920258100001,CONCEDIDA,Procedimento Comum Cível,Planos de saúde,21.64,NÃO,,,,,,,,,,,,,,,,,,,,,,,,
08517411920258100001,CONCEDIDA,Procedimento Comum Cível,Planos de saúde,28.23,NÃO,,,,,,,,,,,,,,,,,,,,,,,,
08841132120258100001,CONCEDIDA,Procedimento Comum Cível,Plano de Saúde  | Planos de saúde,48.14,NÃO,,,,,,,,,,,,,,,,,,,,,,,,
08712616220258100001,NÃO CONCEDIDA,Procedimento Comum Cível,Planos de saúde | Reajuste contratual | Liminar  | Erro Médico | Erro Médico,1.74,NÃO,,,,,,,,,,,,,,,,,,,,,,,,
08531494520258100001,NÃO CONCEDIDA,Procedimento Comum Cível,Reajuste contratual | Planos de saúde,4.16,NÃO,,,,,,,,,,,,,,,,,,,,,,,,
08810663920258100001,NÃO CONCEDIDA,Procedimento Comum Cível,Planos de saúde,11.94,NÃO,,,,,,,,,,,,,,,,,,,,,,,,
08797967720258100001,NÃO CONCEDIDA,Procedimento Comum Cível,Planos de saúde,24.29,NÃO,,,,,,,,,,,,,,,,,,,,,,,,
08778065120258100001,NÃO CONCEDIDA,Procedimento Comum Cível,Reajuste contratual | Liminar  | Planos de saúde,72.78,NÃO,,,,,,,,,,,,,,,,,,,,,,,,
08795525120258100001,NÃO CONCEDIDA,Procedimento Comum Cível,Planos de saúde,73.26,NÃO,,,,,,,,,,,,,,,,,,,,,,,,
