numeroProcesso,codigoMovimento,resultado,dataPrimeiraTutela
08085014320268100001,332,CONCEDIDA,2026-02-11T14:35:02.000Z
08114937420268100001,332,CONCEDIDA,2026-04-30T12:49:45.000Z
08090141120268100001,785,NÃO CONCEDIDA,2026-02-09T22:54:51.000Z
08069217520268100001,332,CONCEDIDA,2026-02-06T16:23:43.000Z
08094636620268100001,332,CONCEDIDA,2026-02-20T11:39:39.000Z
08111541820268100001,332,CONCEDIDA,2026-03-11T21:57:15.000Z
08118557620268100001,785,NÃO CONCEDIDA,2026-03-05T12:19:51.000Z
08139767720268100001,785,NÃO CONCEDIDA,2026-03-02T17:48:17.000Z
08143551820268100001,785,NÃO CONCEDIDA,2026-03-02T15:35:15.000Z
08149761520268100001,332,CONCEDIDA,2026-03-02T23:35:59.000Z
08183775620258100001,332,CONCEDIDA,2025-03-06T17:06:35.000Z
08119345520268100001,785,NÃO CONCEDIDA,2026-02-26T10:00:37.000Z
08206068620258100001,332,CONCEDIDA,2025-03-11T16:03:34.000Z
08229336720268100001,332,CONCEDIDA,2026-03-27T12:09:57.000Z
08168607920268100001,332,CONCEDIDA,2026-03-08T23:21:20.000Z
08231735620268100001,332,CONCEDIDA,2026-03-26T20:39:01.000Z
08237356520268100001,332,CONCEDIDA,2026-03-29T04:48:19.000Z
08294083920268100001,332,CONCEDIDA,2026-04-17T14:05:39.000Z
08310204620258100001,332,CONCEDIDA,2025-04-08T21:41:52.000Z
08203042320268100001,332,CONCEDIDA,2026-06-17T11:18:46.000Z
08236160720268100001,332,CONCEDIDA,2026-03-27T20:49:34.000Z
08242171320268100001,785,NÃO CONCEDIDA,2026-04-22T17:58:58.000Z
08306919720268100001,332,CONCEDIDA,2026-04-22T23:33:57.000Z
08306044420268100001,785,NÃO CONCEDIDA,2026-05-05T22:04:08.000Z
08319676620268100001,785,NÃO CONCEDIDA,2026-07-01T12:01:59.000Z
08345332220258100001,332,CONCEDIDA,2025-04-23T11:40:50.000Z
08289571420268100001,332,CONCEDIDA,2026-05-08T17:19:12.000Z
08341033620268100001,785,NÃO CONCEDIDA,2026-05-29T20:03:34.000Z
08296422120268100001,332,CONCEDIDA,2026-04-24T18:23:10.000Z
08346440620258100001,332,CONCEDIDA,2025-07-29T11:59:48.000Z
08336350920258100001,785,NÃO CONCEDIDA,2025-06-11T11:17:18.000Z
08294770820258100001,889,CONCEDIDA EM PARTE,2026-04-28T22:14:33.000Z
08383878720268100001,785,NÃO CONCEDIDA,2026-06-02T15:58:23.000Z
08307525520268100001,332,CONCEDIDA,2026-04-27T10:13:49.000Z
08313986520268100001,332,CONCEDIDA,2026-05-19T22:12:35.000Z
08449105220258100001,332,CONCEDIDA,2025-08-21T22:52:08.000Z
08449266920268100001,332,CONCEDIDA,2026-06-08T01:01:38.000Z
08363179720268100001,785,NÃO CONCEDIDA,2026-06-26T12:24:23.000Z
08370757620268100001,785,NÃO CONCEDIDA,2026-06-10T16:31:42.000Z
08427987620268100001,332,CONCEDIDA,2026-06-14T13:00:56.000Z
08449668520258100001,332,CONCEDIDA,2025-05-23T11:13:09.000Z
